id,Channel,Partner_Provided,UGC,Channel_id,Label,AssetChannelID,Label2,CMS,client_youtube_shares
981,Channel to be confirmed,CinemanLtd,CinemanLtdUGC,Channel to be confirmed,CINE,Channel to be confirmed,CINE,ND Kids,30
982,Channel to be confirmed,FlyingDreamsEnt,FlyingDreamsEntUGC,Channel to be confirmed,FDE,Channel to be confirmed,FDE,ND Kids,30
983,Channel to be confirmed,MobileMedia,MobileMediaUGC,Channel to be confirmed,MMARIHANE,Channel to be confirmed,MMARIHANE,ND Kids,30
984,Channel to be confirmed,NeoBihar,NeoBiharUGC,Channel to be confirmed,CTNB,Channel to be confirmed,CTNB,ND Kids,30
985,Channel to be confirmed,Dawsen2,Dawsen2UGC,Channel to be confirmed,DW2,Channel to be confirmed,DW2,ND Kids,30
986,Channel to be confirmed,MobileMedia,MobileMediaUGC,Channel to be confirmed,ARIHAAT,Channel to be confirmed,ARIHAAT,ND Kids,30
987,Channel to be confirmed,Shreya,ShreyaUGC,Channel to be confirmed,DZSH,Channel to be confirmed,DZSH,ND Kids,30
988,Channel to be confirmed,BeatsVentures,BeatsVenturesUGC,Channel to be confirmed,BVC,Channel to be confirmed,BVC,ND Kids,30
989,Channel to be confirmed,PurviMedia,PurviMediaUGC,Channel to be confirmed,UTC,Channel to be confirmed,UTC,ND Kids,30
990,Channel to be confirmed,MobileMedia,MobileMediaUGC,Channel to be confirmed,MMARIHANFX,Channel to be confirmed,MMARIHANFX,ND Kids,30
991,Channel to be confirmed,MobileMedia,MobileMediaUGC,Channel to be confirmed,MMARIHAS,Channel to be confirmed,MMARIHAS,ND Kids,30
992,Channel to be confirmed,TachyonFilms,TachyonFilmsUGC,Channel to be confirmed,TYF,Channel to be confirmed,TYF,ND Kids,30
993,Channel to be confirmed,GuroojiMovies,Gurooji MoviesUGC,Channel to be confirmed,GMO,Channel to be confirmed,GMO,ND Kids,30
994,Channel to be confirmed,SSEnt2,SSEnt2UGC,Channel to be confirmed,SSEnt2,Channel to be confirmed,SSEnt2,ND Kids,30
995,Channel to be confirmed,MobileMedia,MobileMediaUGC,Channel to be confirmed,ARIHAAM,Channel to be confirmed,ARIHAAM,ND Kids,30
